Zomato URL,Name of Restaurant,Address,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
https://www.zomato.com/chennai/yaa-mohaideen-briyani-1-pallavaram,Yaa Mohaideen Briyani," 336 & 338, Main Road, Pallavaram, Chennai",Pallavaram,['Biryani'],"['Bread Halwa', ' Chicken 65', ' Mutton Biryani', ' Chicken Biryani', ' Brinjal Gravy', ' Basmati Rice', ' Raita']",500.0,4.3,1500,4.3,9306,"['Home Delivery', 'Indoor Seating']"
https://www.zomato.com/chennai/sukkubhai-biriyani-alandur,Sukkubhai Biriyani," New 14, Old 11/3Q, Railway Station Road, MKN Road, Near Antony Church, Alandur, Chennai",Alandur,"['Biryani', ' North Indian', ' Mughlai', ' Desserts', ' Beverages']","['Beef Biryani', ' Beef Fry', ' Paratha', ' Paya', ' Brinjal Curry', ' Chicken 65', ' Chicken Biryani']",1000.0,4.4,3059,4.1,39200,"['Home Delivery', 'Free Parking', 'Table booking recommended', 'Indoor Seating']"
https://www.zomato.com/chennai/ss-hyderabad-biryani-kodambakkam,SS Hyderabad Biryani," 98/339, Arcot Road, Opposite Gokulam Chit Funds, Kodambakkam, Chennai",Kodambakkam,"['Biryani', ' North Indian', ' Chinese', ' Arabian']","['Brinjal Curry', ' Tandoori Chicken', ' Chicken Grill', ' Brinjal Gravy', ' Hyderabadi Biryani', ' Mutton Biryani', ' Chicken 65']",500.0,4.3,1361,4.4,10500,"['Home Delivery', 'Indoor Seating']"
https://www.zomato.com/chennai/kfc-perambur,KFC," 10, Periyar Nagar, 70 Feet Road, Near Sheeba Hospital, Perambur, Chennai",Perambur,"['Burger', ' Fast Food', ' Finger Food', ' Beverages']",['Zinger Burger'],500.0,4.0,1101,4.0,11200,"['Home Delivery', 'Free Parking', 'Card Upon Delivery', 'Indoor Seating', 'Wifi']"
https://www.zomato.com/chennai/tasty-kitchen-perambur,Tasty Kitchen," 135B, SRP Colony, Peravallur, Near Perambur, Chennai",Perambur,"['Chinese', ' Biryani', ' North Indian', ' Chettinad', ' Arabian']","['Mutton Biryani', ' Chicken Rice', ' Tomato Rice', ' Shawarma', ' Egg Fried Rice']",450.0,4.2,617,4.1,22400,"['Home Delivery', 'Indoor Seating']"
https://www.zomato.com/chennai/dine-n-fun-medavakkam,Dine N Fun," Opposite Forest Office, Tambaram Main Road, Santhosapuram, Medavakkam, Chennai",Medavakkam,"['South Indian', ' North Indian', ' Chinese']","['Chicken Grill', ' Shawarma', ' Naan', ' Chicken Butter Masala', ' Chilli Chicken', ' Fried Rice Chicken']",450.0,4.1,567,3.8,24700,"['Home Delivery', 'Indoor Seating']"
https://www.zomato.com/chennai/bai-veetu-kalyanam-navallur,Bai Veetu Kalyanam," 1/187, Thalambur Road, Navallur, Chennai",Navallur,['Biryani'],"['Bread Halwa', ' Mutton Biryani', ' Brinjal Gravy', ' Raita', ' Brinjal Curry']",350.0,,Does not offer Dining,4.3,1061,['Home Delivery']
https://www.zomato.com/chennai/cafe-arabica-anna-nagar-east,Cafe Arabica," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai",Anna Nagar East,"['Cafe', ' Fast Food']","['Burgers', ' Pasta', ' Sandwich', ' Strawberry Mojito', ' Baklava', ' Cappuccino', ' Chocolate Cake']",800.0,4.3,668,4.3,4320,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Desserts and Bakes']"
https://www.zomato.com/chennai/savoury-sea-shell-anna-nagar-east,Savoury Sea Shell," 3, E Block, 3rd Avenue, Anna Nagar East, Chennai",Anna Nagar East,"['Arabian', ' Chinese', ' North Indian', ' Lebanese', ' Salad']","['Shawarma', ' Chicken Grill', ' Brownie', ' Sea Food', ' Bbq Chicken', ' Biryani', ' Fish']",1400.0,4.2,2564,4.1,21700,"['Home Delivery', 'Indoor Seating', 'Card Upon Delivery', 'Buffet', 'Table booking recommended']"
https://www.zomato.com/chennai/sangeetha-veg-restaurant-t-nagar,Sangeetha Veg Restaurant," 102/82, GN Chetty Road, T. Nagar, Chennai",T. Nagar,"['South Indian', ' North Indian', ' Chinese', ' Chettinad', ' Desserts', ' Beverages']","['Filtered Coffee', ' Chaat', ' Faluda', ' Masala Dosa', ' Pongal', ' Mini Idlis', ' Paneer Tikka']",800.0,4.4,1578,4.2,39600,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Indoor Seating', 'Serves Jain Food', 'Table reservation required']"
https://www.zomato.com/chennai/mcdonalds-velachery,McDonald's," 330/12, Grand Arcade, Dr Seetharaman Nagar, Velachery Tambaram Road, Velachery, Chennai",Velachery,"['Burger', ' Fast Food']","['Burgers', ' Peri Peri Fries', ' French Fries', ' Maharaja Mac', ' Chicken Nuggets', ' Rice Bowl', ' Wings']",500.0,3.9,743,3.9,6226,"['Breakfast', 'Home Delivery', 'Indoor Seating']"
https://www.zomato.com/chennai/kovai-alankar-vilas-anna-nagar-east,Kovai Alankar Vilas," AC 3, 2nd Avenue, Anna Nagar East, Chennai .",Anna Nagar East,['South Indian'],"['Elaneer Payasam', ' Paratha', ' Mutton Chukka', ' Mutton Kola Urundai', ' Mutton Biryani', ' Kali Dosa', ' Nannari Sharbat']",700.0,4.4,961,3.6,7591,"['Home Delivery', 'Free Parking', 'Indoor Seating', 'Table booking recommended']"
https://www.zomato.com/chennai/hotel-al-buhari-vadapalani,Hotel Al Buhari," 81, Opposite AVM Theater, Arcot Road, Vadapalani, Chennai",Vadapalani,"['Chinese', ' Chettinad']","['Shawarma', ' Fried Rice Chicken', ' Biryani']",350.0,4.0,982,3.8,22400,"['Home Delivery', 'Indoor Seating']"
https://www.zomato.com/chennai/dindigul-thalappakatti-1-porur,Dindigul Thalappakatti," New 21-A, Arcot Road, Porur, Chennai",Porur,"['South Indian', ' Biryani', ' Chinese', ' North Indian']","['Mutton Biryani', ' Faluda', ' Barbeque Chicken', ' Chicken Grill', ' Bbq Chicken', ' Fish Fry', ' Mutton Chops']",900.0,4.3,770,4.0,7670,"['Home Delivery', 'Indoor Seating', 'Table reservation required']"
https://www.zomato.com/chennai/hotel-paramount-kilpauk,Hotel Paramount," 12/5, Ormes Road, Kilpauk, Chennai",Kilpauk,"['North Indian', ' Chinese', ' Seafood', ' South Indian', ' Biryani']","['Biryani', ' Butter Chicken', ' Tandoori Chicken', ' Tangdi Kabab', ' Paya', ' Paratha', ' Chilli Chicken']",500.0,4.3,1266,4.2,17700,"['Breakfast', 'Home Delivery', 'Indoor Seating', 'Catering Available']"
https://www.zomato.com/chennai/welcome-hotel-purasavakkam,Welcome Hotel," 112/241, Purasawalkam High Road, Purasavakkam, Chennai.",Purasavakkam,"['South Indian', ' Desserts', ' Beverages']","['Pongal', ' Podi Dosa', ' Idli Sambar', ' Vada Curry', ' Rava Dosa', ' Coffee', ' Masala Dosa']",300.0,4.5,1094,,Does not offer Delivery,"['Breakfast', 'Vegetarian Only', 'Indoor Seating']"
https://www.zomato.com/chennai/arab-street-ashok-nagar,Arab Street," 101, 4th Avenue, Ward 133, Ashok Nagar, Chennai",Ashok Nagar,"['Arabian', ' Biryani', ' Chinese', ' North Indian', ' Italian']","['Shawarma', ' Biryani', ' Chicken Grill', ' Kunafa', ' Charcoal Chicken', ' Chicken Shawarama', ' Butter Naan']",800.0,4.1,1363,3.8,6228,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table reservation required']"
https://www.zomato.com/chennai/abids-chetpet,Abid's," 21, Spurtank Road, Chetpet, Chennai",Chetpet,"['Seafood', ' Biryani', ' Hyderabadi', ' Arabian', ' North Indian', ' Chinese', ' Kerala']","['Haleem', ' Hyderabadi Dum Biryani', ' Brinjal Curry', ' Fish', ' Tandoori Chicken', ' Chicken Grill', ' Mutton Shorba']",1200.0,4.2,742,4.1,3020,"['Home Delivery', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended']"
https://www.zomato.com/chennai/wire-room-bar-kitchen-velachery,Wire Room Bar & Kitchen," 142, Phoenix Marketcity, New NGO Colony, Velachery Road, Indira Gandhi Nagar, Velachery, Chennai","Phoenix Market City, Velachery","['Continental', ' Asian']","['Cocktails', ' Salad', ' Beer', ' Tikka', ' Pork Ribs', ' Steak', ' Nachos']",2000.0,4.1,354,,Does not offer Delivery,"['Full Bar Available', 'Mall Parking', 'Dance Floor', 'Nightlife', 'Live Music', 'Serves Cocktails', 'Restricted Entry', 'Resto Bar', 'LGBTQIA Friendly', 'Private Dining Area Available', 'Live Entertainment', 'Indoor Seating', 'Table booking recommended', 'Smoking Area']"
https://www.zomato.com/chennai/malabar-biriyani-center-aminijikarai,Malabar Biriyani Center," 132/89, Nelson Manickam Road, Mehtha Nagar, Aminijikarai, Chennai",Aminijikarai,"['Kerala', ' Chinese', ' North Indian', ' Biryani']","['Chicken Grill', ' Paratha', ' Malabari Biryani', ' Pulpy Grape Juice', ' Arabian Grape Juice', ' Bbq Chicken', ' Chicken Butter Masala']",450.0,4.1,660,3.9,12600,"['Home Delivery', 'Indoor Seating']"
